Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
regulation of transcription from RNA polymerase II promoter (GO:0006357),190/1478,3.649177286136038e-107,9.287156193216216e-104,0,0,12.620160213618158,3092.975407991031,RB1;ATF2;EHF;CCNK;CCNT2;KDM1A;AHR;RBPJ;NR3C1;BACH1;ELK1;ETS1;ETS2;ELK3;ELK4;YY1;RPS14;KAT5;ZMIZ1;MYC;EP300;JUNB;SOX4;GTF2I;MEF2A;SMARCC1;SMARCC2;HNF1B;RUNX3;HCFC1;FOXP1;RUNX1;TBL1XR1;RFX5;ERG;TP53;CLOCK;ATF3;DDX5;CTBP2;CBFB;KMT2A;PRKDC;MAX;EPAS1;PIK3R1;GATA2;FOXO3;HIF1A;RAD21;SMAD2;STAT5B;EGR1;CREBBP;JUN;XBP1;XRCC6;TGFB2;SMAD4;ZFHX3;JAG1;JUND;UBE2I;SMAD3;POU2F1;VDR;LIF;PBX2;NR2F2;ESR1;FLI1;FOSL2;SMARCA4;FOSL1;CDK9;NFKBIA;NR4A1;BCL6;SP1;BHLHE40;SP3;MDM2;SNAI2;MAFK;TCF4;TCF3;OGT;RCOR1;EZH2;NFE2L2;TP73;KDM5B;RARG;CD40;LDB1;ONECUT1;TCF21;CHD4;CTCF;BRCA1;CHD3;FOXM1;BMI1;HOXC11;CHD1;GLI2;MECP2;MED12;TMEM100;NIPBL;SIN3B;SUMO1;SIN3A;SNAPC4;ANKRD1;MYBL2;HRAS;GABPA;KLF10;BRD2;SREBF1;TCF12;ATRX;TFE3;VEZF1;ETV1;SREBF2;ETV5;NCOR2;CREB3;ELF1;ZEB1;NCOR1;TFDP1;CREB1;ELF2;IRF3;TAL1;TRAF6;NFAT5;CEBPA;CEBPB;HDAC2;HDAC3;HDAC1;SRF;ASCL1;NR2C2;ASCL2;RELA;RXRB;HIRA;FOXS1;MNT;RXRA;MXI1;UBN1;HSF1;NRIP1;STAT6;E2F3;E2F4;TBL1X;RPS27A;BRD7;E2F6;E2F7;BRD4;JAZF1;MBD3;MBD4;TCF7L2;STAT1;STAT2;STAT3;MBD2;ZNF76;KLF4;MEIS2;USF2;HEYL;REST;NFIC;KLF9;ZNF217;CTNNB1;TAF7;CEBPZ;BCOR;TAF1,GO_Biological_Process_2018
"positive regulation of transcription, DNA-templated (GO:0045893)",159/1120,1.1115210793353531e-93,1.414410573454237e-90,0,0,12.58453141922742,2693.526208489805,RB1;ATF2;EHF;CCNK;CCNT2;KDM1A;ICE1;ICE2;AHR;RBPJ;NR3C1;ELK1;ETS1;ETS2;ELK3;ELK4;TRIM28;KAT5;ZMIZ1;MYC;EP300;JUNB;SOX4;HMGN1;MEF2A;SMARCC1;SMARCC2;HNF1B;RUNX3;HCFC1;PIAS1;RUNX1;TBL1XR1;RFX5;PADI2;ERG;TP53;CLOCK;ATF3;DDX5;CTBP2;KMT2A;PRKDC;EPAS1;KMT2B;PIK3R1;GATA2;FOXO3;HIF1A;SMAD2;STAT5B;EGR1;CREBBP;JUN;XBP1;XRCC6;SMAD4;ZFHX3;JAG1;JUND;SMAD3;POU2F1;VDR;LIF;PBX2;NR2F2;ESR1;FLI1;FOSL2;SMARCA4;FOSL1;CDK9;NFKBIA;NR4A1;SP1;SP3;HNRNPD;TCF4;TCF3;OGT;NFE2L2;TP73;KDM5A;RARG;CD40;ELL;LDB1;PHF1;ONECUT1;TCF21;CTCF;BRCA1;FOXM1;HOXC11;GLI2;MED12;SIN3A;UBTF;MYBL2;HRAS;GABPA;KLF10;SREBF1;TCF12;ATRX;TFE3;ARNT;VEZF1;ETV1;SREBF2;ETV5;CREB3;ELF1;TFDP1;CREB1;ELF2;IRF3;TAL1;TRAF6;NFAT5;CEBPA;CEBPB;HDAC2;HDAC3;HDAC1;SRF;ASCL1;NR2C2;RELA;RXRB;RXRA;HSF1;NRIP1;STAT6;E2F3;E2F4;TBL1X;RPS27A;BRD7;E2F7;BRD4;ATF7IP;MBD4;TCF7L2;NFYA;STAT1;STAT3;ZNF76;KLF4;MEIS2;USF2;HEYL;CD4;REST;NFIC;CTNNB1;TAF7;CEBPZ;TAF1,GO_Biological_Process_2018
positive regulation of transcription from RNA polymerase II promoter (GO:0045944),135/848,1.324423573770313e-84,1.1235526650818155e-81,0,0,13.291162009833313,2567.004131880004,ATF2;EHF;CCNK;CCNT2;KDM1A;GTF2B;AHR;RBPJ;NR3C1;ELK1;ETS1;ELK3;ELK4;KAT5;ZMIZ1;MYC;EP300;JUNB;SOX4;MEF2A;HNF1B;RUNX1;TBL1XR1;RFX5;ERG;TP53;CLOCK;ATF3;CTBP2;KMT2A;PRKDC;EPAS1;PIK3R1;GATA2;FOXO3;HIF1A;TERT;SCAP;SMAD2;STAT5B;EGR1;CREBBP;JUN;XBP1;XRCC6;TGFB2;SMAD4;JAG1;JUND;SMAD3;POU2F1;VDR;LIF;PBX2;ESR1;PBX1;FOSL2;SMARCA4;CDK9;NFKBIA;NR4A1;SP1;SP3;TCF4;TCF3;OGT;NFE2L2;TP73;RARG;CD40;ELL;LDB1;ONECUT1;TCF21;BRCA1;FOXM1;HOXC11;GLI2;MED12;NIPBL;SIN3A;MYBL2;HRAS;GABPA;KLF10;SREBF1;TCF12;ATRX;TFE3;VEZF1;ETV1;SREBF2;ETV5;CREB3;ELF1;TFDP1;CREB1;IRF3;TAL1;TRAF6;NFAT5;CEBPA;CEBPB;HDAC2;HDAC3;HDAC1;SRF;ASCL1;NR2C2;RELA;RXRB;RXRA;HSF1;NRIP1;STAT6;E2F3;E2F4;TBL1X;RPS27A;E2F7;BRD4;MBD4;TCF7L2;STAT1;STAT3;ZNF76;KLF4;MEIS2;USF2;HEYL;NFIC;CTNNB1;TAF7;CEBPZ;TAF1,GO_Biological_Process_2018
"regulation of transcription, DNA-templated (GO:0006355)",171/1598,1.369308598851159e-81,8.712225960190499e-79,0,0,9.344310071550808,1739.864622919003,RB1;ATF2;EHF;NDUFA13;KDM1A;AHR;RBPJ;NR3C1;BACH1;ELK1;CELSR2;ETS1;RRP8;ETS2;ELK3;ELK4;YY1;TRIM28;KAT5;MYC;EP300;JUNB;SOX4;GTF2I;DAXX;SMARCC1;SMARCC2;HNF1B;RUNX3;HCFC1;FOXP1;PIAS1;RUNX1;TBL1XR1;RFX5;ERG;TP53;CLOCK;ATF3;DDX5;CTBP2;CBFB;KMT2A;EPAS1;FOXO3;HIF1A;RAD21;ZBTB7A;ZKSCAN1;SMAD2;STAT5B;EGR1;CREBBP;JUN;XRCC6;SMAD4;ZFHX3;JUND;UBE2I;SMAD3;POU2F1;VDR;CBX3;NR2F2;ESR1;FLI1;FOSL2;SMARCA4;FOSL1;GCLC;BCL6;SP1;BHLHE40;SP3;HNRNPD;MDM2;TCF4;TCF3;OGT;LHX9;RCOR1;EZH2;NFE2L2;TP73;KDM5A;KDM5B;KDM5C;LDB1;PHF1;ONECUT1;CHD4;CTCF;PTPRK;BRCA1;CHD3;FOXM1;CHD1;GLI2;MECP2;MED12;NIPBL;SUMO1;SIN3A;SNAPC4;UBTF;ANKRD1;MYBL2;GABPA;KLF10;BRD2;SREBF1;TCF12;ATRX;ARNT;VEZF1;ETV1;ETV5;ELF1;ZEB1;TFDP1;CREB1;ELF2;TAL1;TRAF6;CEBPA;CEBPB;HDAC2;HDAC3;HDAC1;TGFBRAP1;ASCL1;NR2C2;ASCL2;HDAC6;RELA;HIRA;FOXS1;BTAF1;POLR2A;UBN1;NRIP1;STAT6;TBL1X;BRD7;MTA3;BRD4;RUNX1T1;SUZ12;ATF7IP;MBD4;KDM4A;TCF7L2;NFYA;STAT1;NFYB;STAT2;STAT3;MBD2;ZNF76;KLF4;PML;HEYL;CD4;REST;CARM1;KLF9;ZNF217;CTNNB1;TAF7;BCOR;TAF1,GO_Biological_Process_2018
"negative regulation of transcription, DNA-templated (GO:0045892)",123/813,1.0190505874460995e-73,5.186967490100648e-71,0,0,11.993594306049822,2015.7614807364075,RB1;NDUFA13;KDM1A;AHR;RBPJ;NR3C1;BACH1;ETS2;ELK3;ELK4;YY1;RPS14;TRIM28;KAT5;MYC;EP300;JUNB;MEF2A;DAXX;SMARCC2;RUNX3;HCFC1;FOXP1;TBL1XR1;TP53;CLOCK;ATF3;DDX5;CTBP2;MAX;FOXO3;ZBTB7A;SMAD2;CREBBP;JUN;XRCC6;SMAD4;ZFHX3;JUND;UBE2I;SMAD3;POU2F1;VDR;CBX3;NR2F2;ESR1;SMARCA4;GCLC;BCL6;BHLHE40;SP3;MDM2;SNAI2;MAFK;TCF3;LHX9;RCOR1;EZH2;TP73;RARG;KDM5C;LDB1;TCF21;CTCF;PTPRK;BRCA1;FOXM1;BMI1;GLI2;MECP2;NIPBL;SIN3B;SUMO1;SIN3A;KLF10;SREBF2;NCOR2;ZEB1;NCOR1;CREB1;TRAF6;CEBPA;CEBPB;HDAC2;HDAC3;HDAC1;ASCL1;ASCL2;HDAC6;RELA;FOXS1;MNT;BTAF1;RXRA;MXI1;HSF1;NRIP1;TBL1X;RPS27A;BRD7;MTA3;E2F6;E2F7;JAZF1;RUNX1T1;MBD3;ATF7IP;MBD4;KDM4A;TCF7L2;STAT1;STAT3;MBD2;KLF4;MEIS2;PML;HEYL;REST;NFIC;ZNF217;CTNNB1;TAF7;BCOR,GO_Biological_Process_2018
negative regulation of transcription from RNA polymerase II promoter (GO:0000122),93/565,4.506881777890728e-58,1.9116690207886504e-55,0,0,12.116000871982123,1599.8492159792977,RB1;RARG;KDM1A;LDB1;TCF21;CTCF;RBPJ;FOXM1;BMI1;NR3C1;BACH1;ETS2;GLI2;ELK4;MECP2;YY1;RPS14;NIPBL;SIN3B;SUMO1;KAT5;SIN3A;MYC;EP300;JUNB;KLF10;MEF2A;ATRX;RUNX3;SREBF2;HCFC1;NCOR2;ZEB1;NCOR1;TBL1XR1;TRAF6;TP53;ATF3;CEBPB;HDAC2;DDX5;HDAC3;MAX;HDAC1;SRF;ASCL1;FOXO3;ASCL2;RELA;MNT;RXRA;MXI1;HSF1;NRIP1;TBL1X;RPS27A;E2F6;E2F7;JAZF1;MBD3;SMAD2;MBD4;TCF7L2;CREBBP;JUN;SMAD4;ZFHX3;JUND;UBE2I;SMAD3;STAT1;VDR;STAT3;MBD2;NR2F2;KLF4;ESR1;MEIS2;SMARCA4;REST;BCL6;NFIC;BHLHE40;MDM2;SNAI2;ZNF217;TAF7;MAFK;BCOR;TCF3;EZH2;TP73;TAF1,GO_Biological_Process_2018
negative regulation of gene expression (GO:0010629),86/618,2.0827435623402029e-47,7.572260523079737e-45,0,0,9.69111457890008,1041.6767147756946,RB1;NDUFA13;KDM5C;KDM1A;LDB1;PHF1;CTCF;AHR;PTPRK;BRCA1;RBPJ;FOXM1;BMI1;ELK3;MECP2;YY1;NIPBL;SUMO1;TRIM28;KAT5;SIN3A;RACK1;HRAS;KLF10;DAXX;SMARCC2;TERF2;FOXP1;NCOR2;RBL2;ZEB1;NCOR1;TRAF6;DXO;TP53;CLOCK;CEBPA;HDAC2;HDAC3;CTBP2;HDAC1;ASCL1;HIF1A;HDAC6;RELA;FOXS1;BTAF1;TERT;BRD7;MTA3;ZBTB7A;RUNX1T1;SUZ12;SMAD2;ATF7IP;KDM4A;TCF7L2;JUN;XRCC6;TGFB2;SMAD4;UBE2I;POU2F1;VDR;CBX3;MBD2;NR2F2;KLF4;ESR1;PML;SMARCA4;HEYL;GCLC;REST;BCL6;BHLHE40;SP3;MDM2;ZNF217;CTNNB1;TAF7;BCOR;LHX9;RCOR1;EZH2;TAF1,GO_Biological_Process_2018
negative regulation of nucleic acid-templated transcription (GO:1903507),70/444,4.76963589273369e-42,1.517340418375905e-39,0,0,10.771558487303468,1024.873977703014,RB1;NDUFA13;KDM5C;KDM1A;LDB1;CTCF;AHR;PTPRK;BRCA1;RBPJ;FOXM1;ELK3;MECP2;NIPBL;SUMO1;TRIM28;KAT5;SIN3A;KLF10;DAXX;SMARCC2;FOXP1;ZEB1;TRAF6;TP53;CLOCK;CEBPA;HDAC2;HDAC3;CTBP2;HDAC1;ASCL1;HDAC6;RELA;FOXS1;BTAF1;BRD7;MTA3;ZBTB7A;RUNX1T1;SMAD2;ATF7IP;KDM4A;TCF7L2;JUN;XRCC6;SMAD4;UBE2I;POU2F1;VDR;CBX3;MBD2;NR2F2;KLF4;PML;SMARCA4;HEYL;GCLC;REST;BCL6;BHLHE40;SP3;MDM2;ZNF217;CTNNB1;TAF7;BCOR;LHX9;RCOR1;EZH2,GO_Biological_Process_2018
transcription from RNA polymerase II promoter (GO:0006366),72/485,1.9439759595253927e-41,5.49713201888014e-39,0,0,10.073047638495872,944.2601119288008,KDM5A;RARG;CCNK;CCNT2;ELL;ICE1;ICE2;GTF2B;AHR;ARRB2;RBPJ;NR3C1;ETS1;AFF4;MED12;TRIM28;SNAPC1;SNAPC3;SNAPC4;PKNOX1;GABPA;GTF2I;TBP;ARNT;VEZF1;RUNX3;HCFC1;NCOR1;IRF3;NFAT5;CEBPA;CEBPB;DDX5;CBFB;KMT2A;MAX;EPAS1;SRF;MAZ;NR2C2;HIF1A;RELA;RXRB;MNT;RXRA;POLR2A;POLR2E;E2F3;ZBTB7B;MBD4;EGR1;CREBBP;XBP1;ZFHX3;POU2F1;NFYA;VDR;KLF4;ELL2;ESR1;MEIS2;USF2;FOSL1;CDK9;NR4A1;SP1;NFIC;TAF7;CEBPZ;TCF4;NFE2L2;TAF1,GO_Biological_Process_2018
"transcription, DNA-templated (GO:0006351)",63/356,6.226204349913478e-41,1.58456900705298e-38,0,0,12.171479186892595,1126.801729770517,KDM5A;CCNK;CCNT2;ELL;LDB1;GTF2B;AHR;ARRB2;NR3C1;AFF4;SNAPC3;SNAPC4;UBTF;PKNOX1;GABPA;GTF2I;MEF2A;TBP;ARNT;VEZF1;RUNX3;HCFC1;NCOR1;IRF3;TP53;GTF3C1;GTF3C2;NFAT5;CEBPA;DDX5;CEBPB;CBFB;KMT2A;EPAS1;MAX;SRF;GATA2;FOXO3;HIF1A;ASCL2;MNT;POLR2A;HSF1;POLR2E;ZBTB7B;EGR1;XBP1;ZFHX3;NFYA;KLF4;ESR1;MEIS2;USF2;FOSL1;CDK9;POLR3A;NFIC;TAF7;TCF4;CEBPZ;TCF3;NFE2L2;TAF1,GO_Biological_Process_2018
